address,city,country,name,postalCode,province
7201 Two Notch Rd,Columbia,US,Sarku Japan,29223,SC
875 4th St SW,Mason City,US,Taco Bell,50401,IA
320 11th Street Sw Plz,Spencer,US,Taco Bell,51301,IA
120 E Jefferson St,Washington,US,Taco Bell,52353,IA
6694 Highway 431 S,Owens Cross Roads,US,Taco Bell,35763,AL
2721a Emanuel Church Rd,West Columbia,US,Pizza Hut,29170,SC
837 W Morton Ave,Jacksonville,US,Taco Bell,62650,IL
2013 US Route 20,Seneca Falls,US,Burger King,13148,NY
2211 W Dekalb St,Camden,US,Chick-fil-A,29020,SC
1400 S Higley Blvd,Rawlins,US,Subway,82301,WY
3 Spaulding Ave,Malone,US,Domino's Pizza,12953,NY
80 Clinton Plz,Clinton,US,Taco Bell,61727,IL
776 E Main St,Cobleskill,US,Taco Bell,12043,NY
1134 Paterson St,Ogdensburg,US,McDonald's,13669,NY
201 Maple City Dr,Monmouth,US,Taco Bell,61462,IL
31305 Vine St,Eastlake,US,Burger King,44095,OH
2118 Missouri Blvd,Jefferson City,US,Captain D's,65109,MO
1212 W Main St,Fairfield,US,McDonald's,62837,IL
2333 Missouri Blvd,Jefferson City,US,Jack in the Box,65109,MO
550 E Industrial Park Rd,Murphysboro,US,McDonald's,62966,IL
220 S Main St,Atmore,US,Burger King,36502,AL
1607 S State Route 127,Greenville,US,Taco Bell,62246,IL
51-67 E 161st St,Bronx,US,McDonald's,10451,NY
253 W 42nd St,New York,US,Five Guys,10036,NY
4461 Market Commons Dr,Fairfax,US,Pei Wei,22033,VA
14493 Gideon Dr,Woodbridge,US,Wendy's,22192,VA
2815 Fern Valley Rd,Louisville,US,Arby's,40213,KY
2800 Outer Loop,Louisville,US,McDonald's,40219,KY
6501 Paramount Park Dr,Louisville,US,Taco Bell,40213,KY
713 McCroskey St,Nixa,US,Arby's,65714,MO
3409 W Blue Ridge Dr,Greenville,US,Taco Bell,29611,SC
6103 White Horse Rd,Greenville,US,McDonald's,29611,SC
2219 Madison Street,Clarksville,US,SONIC Drive In,37043,TN
788 Riverside Drive,Clarksville,US,Taco Bell,37040,TN
400 Lovell Rd,Knoxville,US,Wendy's,37934,TN
13433 Leopard St,Corpus Christi,US,Burger King,78410,TX
208 E Highway 90,Dayton,US,Jack in the Box,77535,TX
3305 S Campbell Ave Ste E,Springfield,US,Jimmy John's,65807,MO
1173 Murfreesboro Rd,Nashville,US,McDonald's,37217,TN
2203 E Hubbard St,Mineral Wells,US,Taco Bell,76067,TX
2901 Houston Hwy,Victoria,US,Wendy's,77901,TX
6201 W Colonial Drive,Orlando,US,Krystal,32808,FL
3596 MT Diablo Blvd,Lafayette,US,Baja Fresh,94549,CA
31707 LA Highway 16,Denham Springs,US,Mcdonald's,70726,LA
903 S Springfield Ave,Bolivar,US,McDonald's,65613,MO
1875 S Springfield Ave,Bolivar,US,Taco Bell,65613,MO
1905 Southwest Blvd,Jefferson City,US,Taco Bell,65109,MO
2605 Missouri Blvd,Jefferson City,US,Taco Bell,65109,MO
3407 Missouri Blvd,Jefferson City,US,Chick-fil-A,65109,MO
1911 S Springfield Ave,Bolivar,US,Burger King,65613,MO
5160 Southport Supply Road,Southport,US,Bojangles' Famous Chicken 'n Biscuits,28461,NC
421 N 36th St,Quincy,US,Burger King,62301,IL
501 S 8th St,Rogers,US,Arby's,72756,AR
2000 S Pleasant St,Springdale,US,Wendy's,72764,AR
311 N Gaskill St,Huntsville,US,SUBWAY,72740,AR
401 S Thompson St,Springdale,US,Hardee's,72764,AR
1260 E Robinson Ave,Springdale,US,McDonald's,72764,AR
1300 S Thompson St,Springdale,US,Burger King,72764,AR
1407 Main St,Keokuk,US,McDonald's,52632,IA
1421 Avenue H,Fort Madison,US,Taco Bell,52627,IA
1029 S Range Line Rd,Joplin,US,Taco Bell,64801,MO
18710 S Dixie Hwy,Miami,US,Pollo Tropical,33157,FL
709 N Jefferson St,Saint James,US,Burger King,65559,MO
9601 Jefferson Hwy,New Orleans,US,McDonald's,70123,LA
368 S Gloster St,Tupelo,US,Wendy's,38801,MS
840 W Main St,Tupelo,US,Burger King,38801,MS
207 Highway 15 N,Pontotoc,US,Burger King,38863,MS
1130 Murfreesboro Rd,Franklin,US,Arby's,37064,TN
116 Highway 15 N,Pontotoc,US,Domino's Pizza,38863,MS
1221 S Gloster St,Tupelo,US,Domino's Pizza,38801,MS
11292 Old 63 S,Lucedale,US,Burger King,39452-6632,AL
2395 Pass Rd,Biloxi,US,Burger King,39531,AL
309 S Pearson Rd.,Pearl,US,Waffle House,39208,AL
4337 Robinson St,Jackson,US,Popeye's Chicken & Biscuits,39209,AL
4725 Clinton Blvd,Jackson,US,Popeye's Chicken & Biscuits,39209,AL
605 W US Highway 18,Garner,US,Hardee's,50438,IA
202 11th Street Sw Plz,Spencer,US,Burger King,51301,IA
1705 W Burlington Ave,Fairfield,US,McDonald's,52556,IA
3022 5th Ave S,Fort Dodge,US,Jimmy Johns,50501,IA
2313 5th Ave S,Fort Dodge,US,Wendy's,50501,IA
2509 5th Ave S,Fort Dodge,US,McDonald's,50501,IA
1755 John F Kennedy Rd,Dubuque,US,Arby's,52002,IA
1255 E 16th St,Dubuque,US,Wendy's,52001,IA
6466 Poplar Ave,Memphis,US,Back Yard Burgers,38119,TN
2209 Circle Dr W,Spirit Lake,US,Burger King,51360,IA
815 West Second Street,Tifton,US,Krystal,31794,GA
810 2nd St W,Tifton,US,Arby's,31794,GA
303 S Magnolia Street,Tifton,US,Bojangles' Famous Chicken 'n Biscuits,31793,GA
420 Rhomberg Ave,Dubuque,US,Hardee's,52001,IA
620 Iowa St,Dubuque,US,McDonald's,52001,IA
2196 University Ave,Dubuque,US,Hardee's,52001,IA
614 S Highland St,Memphis,US,McDonald's,38111,TN
108 E Brazell Street,Reidsville,US,McDonald's,30453,GA
6804 Casino Strip Resort Blvd,Robinsonville,US,Checkers,38664,MS
2515 Main St,Cedar Falls,US,McDonald's,50613,IA
1203 4th Stsw,Waverly,US,McDonald's,50677,IA
610 W 1st St,Cedar Falls,US,McDonald's,50613,IA
70 Goodman Road,Southaven,US,Krystal,38671,MS
1330 Poplar Ave,Memphis,US,Burger King,38104,TN
6428 E Shelby Dr,Memphis,US,Burger King,38141,TN
3675 Lamar Ave,Memphis,US,Krystal,38118,TN
3591 Lamar Ave,Memphis,US,Burger King,38118,TN
2090 Union Ave,Memphis,US,Burger King,38104,TN
1130 N Quincy Ave,Ottumwa,US,Arby's,52501,IA
1122 N Quincy Ave,Ottumwa,US,Burger King,52501,IA
2804 Grand Ave,Billings,US,Domino's Pizza,59102,MT
904 Main St Ste 1,Billings,US,Domino's Pizza,59105,MT
608 Wyoming Ave,Creston,US,McDonald's,50801,IA
915 Short St,Decorah,US,McDonald's,52101,IA
915 Short St,Decorah,US,Integrated Therapy Specialists: Arnold D Larson,52101,IA
506 S Main St,Swainsboro,US,McDonald's,30401,GA
302 S Main St,Swainsboro,US,KFC,30401,GA
501 S Main St,Swainsboro,US,Hardee's,30401,GA
413 S Main St,Swainsboro,US,Burger King,30401,GA
115 S Roosevelt Ave,Burlington,US,Wendy's,52601,IA
405 S Roosevelt Ave,Burlington,US,Arby's,52601,IA
830 N 2nd St,Clinton,US,Jimmy John's,52732,IA
729 N 2nd St,Clinton,US,McDonald's,52732,IA
825 N 2nd St,Clinton,US,Wendy's,52732,IA
1804 Lincoln Way,Clinton,US,McDonald's,52732,IA
427 E 6th St,Carroll,US,Jimmy John's,51401,IA
912 W Highway 30 St,Carroll,US,McDonald's,51401,IA
1515 Plaza Drive,Carroll,US,Arby's,51401,IA
915 W US Highway 30,Carroll,US,Burger King,51401,IA
605 Flindt Dr,Storm Lake,US,Hardee's,50588,IA
613 Flindt Dr,Storm Lake,US,KFC,50588,IA
1300 Lake Ave,Storm Lake,US,Burger King,50588,IA
2401 4th St SW,Mason City,US,Arby's,50401,IA
515 S Delaware Ave,Mason City,US,Hardee's,50401,IA
2310 4th St SW,Mason City,US,Burger King,50401,IA
1102 Highway 72 E,Corinth,US,Domino's Pizza,38834,MS
705 1st Ave E,Newton,US,Burger King,50208,IA
317 W 6th St Ste 105-106,Moscow,US,Domino's Pizza,83843,ID
120 Boone Heights Dr,Boone,US,Burger King,28607,NC
525 W King St,Boone,US,Jimmy John's,28607,NC
1778 Blowing Rock Rd,Boone,US,Jimmy John's,28607,NC
3100 Foothills Ave,Mountain Home,US,Jack In The Box,83647,ID
2910 American Legion Blvd,Mountain Home,US,Wendy's,83647,ID
2840 American Legion Blvd,Mountain Home,US,McDonald's,83647,ID
946 Carolina Ave,Washington,US,Waffle House,27889,NC
1212 N Main Ave,Sioux Center,US,McDonald's,51250,IA
869 Pole Line Rd,Twin Falls,US,McDonald's,83301,ID
1733 Addison Ave E,Twin Falls,US,Pizza Hut,83301,ID
305 Blue Lakes Blvd N,Twin Falls,US,McDonald's,83301,ID
200 1st St W,Independence,US,Burger King,50644,IA
1811 1st St W,Independence,US,McDonald's,50644,IA
215 Wb McLean Dr,Swansboro,US,Quiznos,28584,NC
1243 Parkway Drive,Blackfoot,US,Arby's,83221,ID
1205 Parkway Dr,Blackfoot,US,Burger King,83221,ID
1115 New Pointe Blvd,Leland,US,Arby's,28451,NC
700 N Webster St,Taylorville,US,Wendy's,62568,IL
610 N Webster St,Taylorville,US,Taco Bell,62568,IL
510 N Webster St,Taylorville,US,KFC,62568,IL
805 S Kalamazoo St,Paw Paw,US,Arby's,49079,MI
2707 Trademark Rd,Wilmington,US,Burger King,28405,NC
805 S College Rd,Wilmington,US,Burger King,28403,NC
2050 N State Road 50,Bourbonnais,US,McDonalds,60914,IL
418 Roland Ave,Holly Ridge,US,Hardee's,28445,NC
220 Lake Park Blvd,Carolina Beach,US,McDonald's,28428,NC
109 Village Road,Leland,US,Bojangles' Famous Chicken 'n Biscuits,28451,NC
104 Village Rd NE,Leland,US,KFC,28451,NC
901 North Grand,Springfield,US,McDonald's,62702,IL
107 Ariel Circle,Osceola,US,Taco Bell,50213,IA
910 Cedar St,Tipton,US,Subway,52772,IA
601 Cedar St,Tipton,US,Hardee's,52772,IA
2883 S Carolina 160,Fort Mill,US,McDonalds,29708,SC
510 Rigby Lake Dr,Rigby,US,Wendy's,83442,ID
2740 South Hitt Road,Idaho Falls,US,Taco Bell,83404,ID
424 S Woodruff Ave,Idaho Falls,US,Jack in the Box,83401,ID
123 S 4th Ave,Pocatello,US,Jack in the Box,83201,ID
625 S 5th Ave,Pocatello,US,Jimmy John's,83201,ID
1544 Pocatello Creek Rd,Pocatello,US,Subway,83201,ID
791 Yellowstone Ave,Pocatello,US,Arby's,83201,ID
929 Yellowstone Ave,Pocatello,US,Wendy's,83201,ID
1735 E Vienna St,Anna,US,Burger King,62906,IL
140 E Vienna St,Anna,US,Hardee's,62906,IL
1195 E Vienna Street,Anna,US,Taco Bell,62906,IL
568 N 2nd E,Rexburg,US,KFC,83440,ID
545 N 2nd E,Rexburg,US,Wendy's,83440,ID
461 N 2nd E,Rexburg,US,Jack in the Box,83440,ID
175 Valley River Dr,Rexburg,US,McDonald's,83440,ID
346 N 2nd E,Rexburg,US,Dairy Queen,83440,ID
478 N 2nd E,Rexburg,US,Arby's,83440,ID
210 N 1st Ave,Canton,US,Burger King,61520,IL
638 N Main St,Canton,US,Hardee's,61520,IL
810 E Broadway,Centralia,US,McDonald's,62801,IL
600 S Newport Rd,Pontiac,US,Burger King,61764,IL
1600 W Reynolds St,Pontiac,US,Taco Bell,61764,IL
1396 E Main St,Carbondale,US,McDonald's,62901,IL
